paradigm,subject,split,calib_size,n_epochs_total,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,n_purged,status
mi,99,temporal_array,10,234,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,ok
mi,99,temporal_array,20,234,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,ok
mi,99,temporal_array,50,234,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,ok
mi,99,temporal_array,100,234,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,ok
mi,99,temporal_array,200,234,200,34,0.45,0.0,0.13,1.0,0,degenerate_eval_single_class
mi,99,temporal_chrono,10,234,10,224,0.0,0.4017857142857143,1.0,0.22321428571428573,0,ok
mi,99,temporal_chrono,20,234,20,214,0.0,0.4205607476635514,1.0,0.18691588785046728,0,ok
mi,99,temporal_chrono,50,234,50,184,0.0,0.4891304347826087,1.0,0.05434782608695652,0,ok
mi,99,temporal_chrono,100,234,100,134,0.21,0.5149253731343284,0.6,0.0,0,ok
mi,99,temporal_chrono,200,234,200,34,0.36,0.5294117647058824,0.3,0.0,0,ok
mi,99,stratified,10,234,10,224,0.4,0.38392857142857145,0.2,0.25892857142857145,0,ok
mi,99,stratified,20,234,20,214,0.4,0.38317757009345793,0.15,0.26635514018691586,0,ok
mi,99,stratified,50,234,50,184,0.38,0.3858695652173913,0.22,0.266304347826087,0,ok
mi,99,stratified,100,234,100,134,0.38,0.3880597014925373,0.22,0.2835820895522388,0,ok
mi,99,stratified,200,234,200,34,0.385,0.38235294117647056,0.235,0.38235294117647056,0,ok
mi,99,stratified_task_only,10,234,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,ok
mi,99,stratified_task_only,20,234,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,ok
mi,99,stratified_task_only,50,234,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,ok
mi,99,stratified_task_only,100,234,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,ok
mi,99,stratified_task_only,200,234,200,0,,,,,0,impossible: Cannot draw 200 calibration epochs from a pool of 174.
mi,99,purged_stratified,10,234,10,150,0.4,0.38666666666666666,0.2,0.25333333333333335,74,ok
mi,99,purged_stratified,20,234,20,98,0.4,0.35714285714285715,0.15,0.2755102040816326,116,ok
mi,99,purged_stratified,50,234,50,17,0.38,0.17647058823529413,0.22,0.5882352941176471,167,ok
mi,99,purged_stratified,100,234,100,0,0.38,nan,0.22,nan,134,degenerate_empty_eval
mi,99,purged_stratified,200,234,200,0,0.385,nan,0.235,nan,34,degenerate_empty_eval
mi,101,temporal_array,10,234,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,ok
mi,101,temporal_array,20,234,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,ok
mi,101,temporal_array,50,234,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,ok
mi,101,temporal_array,100,234,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,ok
mi,101,temporal_array,200,234,200,34,0.45,0.0,0.13,1.0,0,degenerate_eval_single_class
mi,101,temporal_chrono,10,234,10,224,0.0,0.4017857142857143,1.0,0.22321428571428573,0,ok
mi,101,temporal_chrono,20,234,20,214,0.0,0.4205607476635514,1.0,0.18691588785046728,0,ok
