subject,n_epochs,n_task,n_baseline,baseline_frac,n_pos,n_neg,pos_rate,runs
99,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
101,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
102,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
103,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
104,230,170,60,0.2608695652173913,88,142,0.3826086956521739,"1,2,4,6,8,10,12,14"
105,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
106,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
107,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
108,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
109,234,174,60,0.2564102564102564,90,144,0.38461538461538464,"1,2,4,6,8,10,12,14"
