paradigm,subject,split,calib_size,n_epochs_total,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,n_purged,status
p300,1,temporal_array,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_array,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_array,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_array,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_array,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_chrono,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_chrono,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_chrono,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_chrono,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,temporal_chrono,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified,240,1728,240,1488,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified,480,1728,480,1248,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified_task_only,24,1728,24,1704,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified_task_only,48,1728,48,1680,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
p300,1,stratified_task_only,96,1728,96,1632,0.16666666666666666,0.16666666666666666,0.0,0.0,0,ok
