subject,n_epochs,n_task,n_baseline,baseline_frac,n_pos,n_neg,pos_rate,runs
1,1728,1728,0,0.0,288,1440,0.16666666666666666,0
2,1728,1728,0,0.0,288,1440,0.16666666666666666,0
3,1728,1728,0,0.0,288,1440,0.16666666666666666,0
4,1728,1728,0,0.0,288,1440,0.16666666666666666,0
5,1728,1728,0,0.0,288,1440,0.16666666666666666,0
6,1728,1728,0,0.0,288,1440,0.16666666666666666,0
7,1728,1728,0,0.0,288,1440,0.16666666666666666,0
8,1728,1728,0,0.0,288,1440,0.16666666666666666,0
9,1728,1728,0,0.0,288,1440,0.16666666666666666,0
10,1728,1728,0,0.0,288,1440,0.16666666666666666,0
