split,calib_size,montage_condition,n_displaced,n_subjects,mean_baseline_auc,mean_delta_auc,ci95_lo,ci95_hi,n_improved,p_two_sided
stratified,10,perm_k0,0,10,0.771402,-0.081598,-0.11106,-0.053596,0,0.001953
stratified,10,perm_k2,2,10,0.760562,-0.076746,-0.102325,-0.051777,0,0.001953
stratified,10,perm_k4,4,10,0.736849,-0.071638,-0.092448,-0.050885,0,0.001953
stratified,10,perm_k8,8,10,0.706767,-0.054376,-0.073904,-0.035303,0,0.001953
stratified,10,perm_k17,17,10,0.636556,-0.026707,-0.045885,-0.009009,2,0.027344
stratified,10,preaudit_hardcoded,17,10,0.703384,-0.054597,-0.073675,-0.037364,0,0.001953
stratified,50,perm_k0,0,10,0.774123,-0.028662,-0.046422,-0.012509,2,0.009766
stratified,50,perm_k2,2,10,0.763299,-0.025876,-0.042594,-0.010791,1,0.013672
stratified,50,perm_k4,4,10,0.738091,-0.020445,-0.03261,-0.0081,2,0.019531
stratified,50,perm_k8,8,10,0.706867,-0.008215,-0.021035,0.004565,4,0.322266
stratified,50,perm_k17,17,10,0.635241,0.026553,0.009925,0.04472,9,0.019531
stratified,50,preaudit_hardcoded,17,10,0.702741,-0.006767,-0.023309,0.008784,4,0.556641
stratified,100,perm_k0,0,10,0.780222,-0.01734,-0.031973,-0.00448,3,0.064453
stratified,100,perm_k2,2,10,0.76877,-0.015148,-0.029521,-0.002009,3,0.083984
stratified,100,perm_k4,4,10,0.744094,-0.010339,-0.020982,0.001912,3,0.160156
stratified,100,perm_k8,8,10,0.713257,0.001412,-0.010272,0.014519,4,1.0
stratified,100,perm_k17,17,10,0.638821,0.041517,0.026464,0.056895,9,0.003906
stratified,100,preaudit_hardcoded,17,10,0.70632,0.003079,-0.018519,0.02189,7,0.769531
stratified,200,perm_k0,0,10,0.79067,-0.001119,-0.013297,0.009813,6,1.0
stratified,200,perm_k2,2,10,0.776755,0.002732,-0.009597,0.014242,6,0.769531
stratified,200,perm_k4,4,10,0.749364,0.009422,-0.004744,0.024381,6,0.625
stratified,200,perm_k8,8,10,0.712246,0.025905,0.006205,0.045053,7,0.048828
stratified,200,perm_k17,17,10,0.637324,0.074664,0.05025,0.101594,10,0.001953
stratified,200,preaudit_hardcoded,17,10,0.715703,0.023423,9.2e-05,0.042198,8,0.083984
temporal_array,10,perm_k0,0,10,0.773512,-0.111295,-0.165011,-0.064102,0,0.001953
temporal_array,10,perm_k2,2,10,0.762171,-0.108783,-0.16099,-0.065231,0,0.001953
temporal_array,10,perm_k4,4,10,0.739455,-0.09998,-0.146517,-0.060599,0,0.001953
temporal_array,10,perm_k8,8,10,0.709711,-0.093302,-0.131862,-0.062452,0,0.001953
temporal_array,10,perm_k17,17,10,0.635276,-0.030272,-0.065085,0.002801,4,0.232422
temporal_array,10,preaudit_hardcoded,17,10,0.704904,-0.068744,-0.106389,-0.0336,2,0.009766
temporal_array,50,perm_k0,0,10,0.771855,-0.048968,-0.100438,-0.01012,2,0.027344
temporal_array,50,perm_k2,2,10,0.760084,-0.044687,-0.089369,-0.010702,2,0.013672
temporal_array,50,perm_k4,4,10,0.741045,-0.058888,-0.11147,-0.019261,1,0.009766
temporal_array,50,perm_k8,8,10,0.710374,-0.049399,-0.092878,-0.012508,3,0.037109
temporal_array,50,perm_k17,17,10,0.636567,-0.009119,-0.045179,0.026004,4,0.695312
temporal_array,50,preaudit_hardcoded,17,10,0.70147,-0.037403,-0.078686,-0.002957,3,0.130859
temporal_array,100,perm_k0,0,10,0.798123,-0.06704,-0.108019,-0.029092,1,0.005859
temporal_array,100,perm_k2,2,10,0.78412,-0.060509,-0.097576,-0.025383,2,0.009766
temporal_array,100,perm_k4,4,10,0.760131,-0.057424,-0.098072,-0.023632,1,0.009766
temporal_array,100,perm_k8,8,10,0.72525,-0.045292,-0.078595,-0.013268,3,0.037109
temporal_array,100,perm_k17,17,10,0.655157,-0.016153,-0.047632,0.010415,4,0.375
temporal_array,100,preaudit_hardcoded,17,10,0.723311,-0.048003,-0.098218,-0.007874,2,0.027344
