adapted_N10,adapted_N100,adapted_N200,adapted_N50,asymptote,asymptote_ci_hi,asymptote_ci_lo,baseline_auc,fit_r2,gap_to_k0_baseline,k0_baseline_auc,montage_condition,n_subjects,recovers_k0,recovery_fraction,split
0.689804,0.762882,0.78955,0.745461,0.777281,0.84457,0.708375,0.771402,0.9049,0.005879,0.771402,perm_k0,10,True,,stratified
0.683816,0.753622,0.779487,0.737423,0.767682,0.832861,0.702571,0.760562,0.9053,-0.00372,0.771402,perm_k2,10,True,0.6568,stratified
0.665212,0.733755,0.758786,0.717646,0.747343,0.81505,0.677589,0.736849,0.906,-0.024059,0.771402,perm_k4,10,True,0.3037,stratified
0.652391,0.714669,0.738152,0.698651,0.726868,0.787602,0.664569,0.706767,0.8933,-0.044535,0.771402,perm_k8,10,True,0.311,stratified
0.609849,0.680338,0.711988,0.661794,0.696101,0.751328,0.638869,0.636556,0.8651,-0.075301,0.771402,perm_k17,10,False,0.4416,stratified
0.648787,0.709399,0.739126,0.695974,0.724816,0.787763,0.65618,0.703384,0.8661,-0.046586,0.771402,preaudit_hardcoded,10,True,0.3151,stratified
0.662217,0.731083,,0.722887,0.73844,0.827661,0.650399,0.773512,0.9999,-0.035071,0.773512,perm_k0,10,True,,temporal_array
0.653389,0.723611,,0.715397,0.731191,0.816282,0.648155,0.762171,1.0,-0.042321,0.773512,perm_k2,10,True,-2.7319,temporal_array
0.639475,0.702707,,0.682157,0.702415,0.788224,0.617777,0.739455,0.9512,-0.071097,0.773512,perm_k4,10,True,-1.0876,temporal_array
0.616409,0.679957,,0.660974,0.680567,0.751316,0.610974,0.709711,0.9629,-0.092944,0.773512,perm_k8,10,False,-0.4568,temporal_array
0.605004,0.639005,,0.627448,0.638574,0.698557,0.57879,0.635276,0.9438,-0.134938,0.773512,perm_k17,10,False,0.0239,temporal_array
0.63616,0.675308,,0.664067,0.675929,0.761292,0.590122,0.704904,0.9676,-0.097583,0.773512,preaudit_hardcoded,10,False,-0.4223,temporal_array
