paradigm,permute_k,split,calib_size,n_subjects,acceptance_rate,mean_delta_deployed,ci_lo,ci_hi,p_two_sided,status,n_ungateable
als,0,stratified,24,8,,0.0,,,,ungateable,400
als,0,stratified,48,8,0.3825,-0.001334,-0.002482,0.000132,0.148438,ok,0
als,0,stratified,96,8,0.66,-0.003482,-0.008858,0.003467,0.195312,ok,0
als,0,stratified,240,8,0.755,-0.001819,-0.008282,0.006459,0.546875,ok,0
als,0,stratified,480,8,0.68,0.00046,-0.009199,0.013584,0.546875,ok,0
als,0,temporal_array,24,8,,0.0,,,,ungateable,400
als,0,temporal_array,48,8,0.375,-0.001523,-0.003012,-0.000322,0.054688,ok,0
als,0,temporal_array,96,8,0.69,-0.006803,-0.011858,-0.00054,0.078125,ok,0
als,0,temporal_array,240,8,0.7625,-0.017026,-0.044731,0.002468,0.148438,ok,0
als,0,temporal_array,480,8,0.74,-0.008728,-0.027403,0.009627,0.25,ok,0
mi,0,stratified,10,10,,0.0,,,,ungateable,250
mi,0,stratified,20,10,,0.0,,,,ungateable,250
mi,0,stratified,50,10,0.508,-0.001666,-0.005922,0.002501,0.625,ok,0
mi,0,stratified,100,10,0.736,-0.001159,-0.008242,0.005584,0.921875,ok,0
mi,0,stratified,150,10,0.808,-1.9e-05,-0.007322,0.006923,1.0,ok,0
mi,0,stratified,200,10,0.772,0.000641,-0.007839,0.008689,1.0,ok,0
mi,0,temporal_array,10,10,,0.0,,,,ungateable,250
mi,0,temporal_array,20,10,,0.0,,,,ungateable,250
mi,0,temporal_array,50,10,0.58,-0.013296,-0.035188,0.002762,0.845703,ok,0
mi,0,temporal_array,100,10,0.812,-0.024709,-0.052223,-0.000784,0.492188,ok,0
mi,0,temporal_array,150,10,0.888,-0.047171,-0.095783,-0.012536,0.027344,ok,0
mi,17,stratified,10,10,,0.0,,,,ungateable,250
mi,17,stratified,20,10,,0.0,,,,ungateable,250
mi,17,stratified,50,10,0.68,0.027595,0.013948,0.041875,0.005859,ok,0
mi,17,stratified,100,10,0.84,0.048749,0.023806,0.074613,0.009766,ok,0
mi,17,stratified,150,10,0.852,0.059478,0.028137,0.092061,0.009766,ok,0
mi,17,stratified,200,10,0.868,0.094278,0.050834,0.142989,0.001953,ok,0
mi,17,temporal_array,10,10,,0.0,,,,ungateable,250
mi,17,temporal_array,20,10,,0.0,,,,ungateable,250
mi,17,temporal_array,50,10,0.692,0.014562,-0.004513,0.035065,0.431641,ok,0
mi,17,temporal_array,100,10,0.864,0.008325,-0.035279,0.044699,0.625,ok,0
mi,17,temporal_array,150,10,0.848,-0.000466,-0.054157,0.04897,1.0,ok,0
p300,0,stratified,24,10,,0.0,,,,ungateable,50
p300,0,stratified,48,10,0.38,-0.003131,-0.006464,-0.00082,0.023438,ok,0
p300,0,stratified,96,10,0.52,-0.004836,-0.00932,-0.000939,0.027344,ok,0
p300,0,stratified,240,10,0.48,-0.006069,-0.009488,-0.002677,0.009766,ok,0
p300,0,stratified,480,10,0.48,-0.00521,-0.00874,-0.001576,0.027344,ok,0
p300,0,temporal_array,24,10,,0.0,,,,ungateable,50
p300,0,temporal_array,48,10,0.3,-0.002766,-0.004811,-0.000875,0.03125,ok,0
p300,0,temporal_array,96,10,0.52,-0.00495,-0.010532,-6.2e-05,0.109375,ok,0
p300,0,temporal_array,240,10,0.58,-0.005236,-0.008296,-0.001854,0.027344,ok,0
p300,0,temporal_array,480,10,0.6,-0.005098,-0.010593,6e-05,0.037109,ok,0
