paradigm,subject,fold,permute_k,split,calib_size,seed,n_val,baseline_auc,status,accepted,adapted_auc,deployed_auc,delta_auc,internal_val_auc,best_epoch
mi,99,version_27,0,stratified,10,42,2,0.7655038759689922,ungateable,,,0.7655038759689922,0.0,,
mi,99,version_27,0,stratified,10,43,2,0.735422986181328,ungateable,,,0.735422986181328,0.0,,
mi,99,version_27,0,stratified,10,44,2,0.7369396697000338,ungateable,,,0.7369396697000338,0.0,,
mi,99,version_27,0,stratified,10,45,2,0.73154701718908,ungateable,,,0.73154701718908,0.0,,
mi,99,version_27,0,stratified,10,46,2,0.7371081900910009,ungateable,,,0.7371081900910009,0.0,,
mi,99,version_27,0,stratified,20,42,5,0.7645971914264598,ungateable,,,0.7645971914264598,0.0,,
mi,99,version_27,0,stratified,20,43,5,0.7266260162601625,ungateable,,,0.7266260162601625,0.0,,
mi,99,version_27,0,stratified,20,44,5,0.7340169992609017,ungateable,,,0.7340169992609017,0.0,,
mi,99,version_27,0,stratified,20,45,5,0.7276422764227642,ungateable,,,0.7276422764227642,0.0,,
mi,99,version_27,0,stratified,20,46,5,0.7427937915742794,ungateable,,,0.7427937915742794,0.0,,
mi,99,version_27,0,stratified,50,42,12,0.7856163529851676,ok,1,0.7874859778137854,0.7874859778137854,0.0018696248286177441,0.45714285714285713,0
mi,99,version_27,0,stratified,50,43,12,0.7123270597033529,ok,1,0.7143213261872118,0.7143213261872118,0.0019942664838589197,0.942857142857143,2
mi,99,version_27,0,stratified,50,44,12,0.7574473389006607,ok,1,0.7519631060700486,0.7519631060700486,-0.005484232830612168,0.7714285714285715,15
mi,99,version_27,0,stratified,50,45,12,0.7524616726910133,ok,0,0.7562009223482488,0.7524616726910133,0.0,0.942857142857143,0
mi,99,version_27,0,stratified,50,46,12,0.7665461797332668,ok,1,0.7742739623582201,0.7742739623582201,0.007727782624953328,0.8571428571428572,1
mi,99,version_27,0,stratified,100,42,25,0.7786116322701689,ok,1,0.7553939962476547,0.7553939962476547,-0.023217636022514254,0.6666666666666666,11
mi,99,version_27,0,stratified,100,43,25,0.7117729831144465,ok,1,0.7091932457786116,0.7091932457786116,-0.0025797373358348308,0.9166666666666666,0
mi,99,version_27,0,stratified,100,44,25,0.7455440900562852,ok,1,0.751172607879925,0.751172607879925,0.0056285178236398226,0.8958333333333334,0
mi,99,version_27,0,stratified,100,45,25,0.7814258911819887,ok,1,0.7823639774859287,0.7823639774859287,0.0009380863039399889,0.7,6
mi,99,version_27,0,stratified,100,46,25,0.7917448405253282,ok,1,0.7779080675422139,0.7779080675422139,-0.013836772983114365,0.7266666666666667,12
mi,99,version_27,0,stratified,150,42,38,0.7127403846153847,ok,1,0.7091346153846153,0.7091346153846153,-0.0036057692307693845,0.9217391304347826,3
mi,99,version_27,0,stratified,150,43,38,0.6814903846153846,ok,1,0.6856971153846154,0.6856971153846154,0.0042067307692308376,0.6927536231884058,0
mi,99,version_27,0,stratified,150,44,38,0.7457932692307693,ok,1,0.7199519230769231,0.7199519230769231,-0.025841346153846145,0.7884057971014493,6
mi,99,version_27,0,stratified,150,45,38,0.7536057692307692,ok,0,0.7518028846153845,0.7536057692307692,0.0,0.6956521739130435,0
mi,99,version_27,0,stratified,150,46,38,0.7902644230769231,ok,1,0.7956730769230769,0.7956730769230769,0.005408653846153744,0.8057971014492753,9
mi,99,version_27,0,stratified,200,42,50,0.8095238095238095,ok,1,0.8461538461538461,0.8461538461538461,0.03663003663003661,0.6129032258064516,6
mi,99,version_27,0,stratified,200,43,50,0.6776556776556777,ok,1,0.6776556776556777,0.6776556776556777,0.0,0.7826825127334464,2
mi,99,version_27,0,stratified,200,44,50,0.706959706959707,ok,1,0.6813186813186813,0.6813186813186813,-0.02564102564102566,0.733446519524618,1
mi,99,version_27,0,stratified,200,45,50,0.8058608058608059,ok,0,0.8095238095238095,0.8058608058608059,0.0,0.7758913412563667,1
mi,99,version_27,0,stratified,200,46,50,0.8058608058608059,ok,1,0.8058608058608059,0.8058608058608059,0.0,0.7860780984719864,6
mi,99,version_27,0,temporal_array,10,42,2,0.7366906474820144,ungateable,,,0.7366906474820144,0.0,,
mi,99,version_27,0,temporal_array,10,43,2,0.7366906474820144,ungateable,,,0.7366906474820144,0.0,,
mi,99,version_27,0,temporal_array,10,44,2,0.7366906474820144,ungateable,,,0.7366906474820144,0.0,,
mi,99,version_27,0,temporal_array,10,45,2,0.7366906474820144,ungateable,,,0.7366906474820144,0.0,,
mi,99,version_27,0,temporal_array,10,46,2,0.7366906474820144,ungateable,,,0.7366906474820144,0.0,,
mi,99,version_27,0,temporal_array,20,42,5,0.7298507462686568,ungateable,,,0.7298507462686568,0.0,,
mi,99,version_27,0,temporal_array,20,43,5,0.7298507462686568,ungateable,,,0.7298507462686568,0.0,,
mi,99,version_27,0,temporal_array,20,44,5,0.7298507462686568,ungateable,,,0.7298507462686568,0.0,,
mi,99,version_27,0,temporal_array,20,45,5,0.7298507462686568,ungateable,,,0.7298507462686568,0.0,,
mi,99,version_27,0,temporal_array,20,46,5,0.7298507462686568,ungateable,,,0.7298507462686568,0.0,,
mi,99,version_27,0,temporal_array,50,42,12,0.714453125,ok,1,0.7410156250000001,0.7410156250000001,0.026562500000000044,0.888888888888889,23
mi,99,version_27,0,temporal_array,50,43,12,0.714453125,ok,0,0.71875,0.714453125,0.0,0.75,0
mi,99,version_27,0,temporal_array,50,44,12,0.714453125,ok,0,0.71875,0.714453125,0.0,0.9722222222222223,0
mi,99,version_27,0,temporal_array,50,45,12,0.714453125,ok,0,0.7178385416666666,0.714453125,0.0,0.888888888888889,0
mi,99,version_27,0,temporal_array,50,46,12,0.714453125,ok,0,0.7149739583333333,0.714453125,0.0,0.8333333333333333,0
mi,99,version_27,0,temporal_array,100,42,25,0.7686403508771931,ok,1,0.7072368421052632,0.7072368421052632,-0.061403508771929904,0.8012820512820513,12
mi,99,version_27,0,temporal_array,100,43,25,0.7686403508771931,ok,1,0.7804276315789472,0.7804276315789472,0.011787280701754166,0.782051282051282,3
mi,99,version_27,0,temporal_array,100,44,25,0.7686403508771931,ok,1,0.7453399122807017,0.7453399122807017,-0.023300438596491335,0.7628205128205128,7
mi,99,version_27,0,temporal_array,100,45,25,0.7686403508771931,ok,1,0.6825657894736842,0.6825657894736842,-0.08607456140350889,0.6474358974358975,19
mi,99,version_27,0,temporal_array,100,46,25,0.7686403508771931,ok,1,0.7502741228070176,0.7502741228070176,-0.018366228070175517,0.9038461538461539,7
mi,99,version_27,0,temporal_array,150,42,38,0.6828703703703703,ok,1,0.6585648148148149,0.6585648148148149,-0.02430555555555547,0.7583333333333334,5
mi,99,version_27,0,temporal_array,150,43,38,0.6828703703703703,ok,1,0.6678240740740742,0.6678240740740742,-0.015046296296296169,0.7694444444444445,8
mi,99,version_27,0,temporal_array,150,44,38,0.6828703703703703,ok,1,0.5868055555555556,0.5868055555555556,-0.09606481481481477,0.8416666666666667,23
mi,99,version_27,0,temporal_array,150,45,38,0.6828703703703703,ok,1,0.6574074074074074,0.6574074074074074,-0.02546296296296291,0.6555555555555554,11
mi,99,version_27,0,temporal_array,150,46,38,0.6828703703703703,ok,1,0.6608796296296295,0.6608796296296295,-0.02199074074074081,0.7861111111111112,10
mi,99,version_27,17,stratified,10,42,2,0.5596562184024267,ungateable,,,0.5596562184024267,0.0,,
mi,99,version_27,17,stratified,10,43,2,0.5356420626895855,ungateable,,,0.5356420626895855,0.0,,
mi,99,version_27,17,stratified,10,44,2,0.5722952477249748,ungateable,,,0.5722952477249748,0.0,,
mi,99,version_27,17,stratified,10,45,2,0.5385911695315133,ungateable,,,0.5385911695315133,0.0,,
mi,99,version_27,17,stratified,10,46,2,0.5317660936973373,ungateable,,,0.5317660936973373,0.0,,
mi,99,version_27,17,stratified,20,42,5,0.5505358462675536,ungateable,,,0.5505358462675536,0.0,,
mi,99,version_27,17,stratified,20,43,5,0.5238359201773836,ungateable,,,0.5238359201773836,0.0,,
mi,99,version_27,17,stratified,20,44,5,0.5787139689578713,ungateable,,,0.5787139689578713,0.0,,
mi,99,version_27,17,stratified,20,45,5,0.536770140428677,ungateable,,,0.536770140428677,0.0,,
mi,99,version_27,17,stratified,20,46,5,0.524759793052476,ungateable,,,0.524759793052476,0.0,,
mi,99,version_27,17,stratified,50,42,12,0.5650006232082762,ok,1,0.6228343512401845,0.6228343512401845,0.05783372803190834,0.45714285714285713,13
mi,99,version_27,17,stratified,50,43,12,0.5158918110432507,ok,1,0.5613860152062821,0.5613860152062821,0.045494204163031404,0.6000000000000001,18
mi,99,version_27,17,stratified,50,44,12,0.5820765299763181,ok,1,0.6923843948647638,0.6923843948647638,0.11030786488844568,0.4285714285714285,17
mi,99,version_27,17,stratified,50,45,12,0.5233703103577216,ok,0,0.5362084008475632,0.5233703103577216,0.0,0.5142857142857142,0
mi,99,version_27,17,stratified,50,46,12,0.5183846441480743,ok,0,0.5236195936682039,0.5183846441480743,0.0,0.4857142857142857,0
mi,99,version_27,17,stratified,100,42,25,0.5328330206378987,ok,1,0.5802063789868669,0.5802063789868669,0.047373358348968164,0.6319444444444444,9
mi,99,version_27,17,stratified,100,43,25,0.5225140712945591,ok,1,0.5827861163227017,0.5827861163227017,0.06027204502814265,0.7430555555555556,6
mi,99,version_27,17,stratified,100,44,25,0.6219512195121951,ok,1,0.7040337711069418,0.7040337711069418,0.08208255159474664,0.6805555555555555,46
