split,permute_k,calib_size,n_subjects,p_mode,rho_same_set,p_same_set,rho_split_half,p_split_half,ci_lo,ci_hi,survives,mean_baseline_a,mean_delta_b
stratified,0,10,10,monte-carlo,-0.1273,0.72941,-0.2,0.58127,-0.761,0.5751,False,0.7704,-0.0798
stratified,0,50,10,monte-carlo,0.6727,0.03985,0.6,0.0726,0.0458,0.8491,False,0.7668,-0.0262
stratified,0,100,10,monte-carlo,0.5879,0.082,0.6485,0.0491,0.0588,0.8752,False,0.7768,-0.0141
stratified,0,200,10,monte-carlo,-0.0545,0.89351,0.2121,0.56022,-0.4304,0.8491,False,0.7746,0.0036
stratified,2,10,10,monte-carlo,-0.2727,0.44643,-0.2485,0.49163,-0.8608,0.5155,False,0.765,-0.0751
stratified,2,50,10,monte-carlo,0.3576,0.30728,0.3091,0.38573,-0.3807,0.7089,False,0.7606,-0.0168
stratified,2,100,10,monte-carlo,0.5636,0.09845,0.6,0.07445,-0.0741,0.9481,False,0.7738,-0.0056
stratified,2,200,10,monte-carlo,-0.103,0.78621,0.2606,0.47053,-0.4905,0.8634,False,0.7625,0.0075
stratified,4,10,10,monte-carlo,-0.4424,0.20294,-0.3212,0.36438,-0.8261,0.5804,False,0.7213,-0.0656
stratified,4,50,10,monte-carlo,0.6485,0.0497,0.6,0.07515,-0.0506,0.9627,False,0.7161,-0.0095
stratified,4,100,10,monte-carlo,0.6485,0.0498,0.6121,0.06685,-0.1321,0.9231,False,0.7214,0.0019
stratified,4,200,10,monte-carlo,0.2485,0.48853,0.503,0.14429,-0.1819,0.8961,False,0.7059,0.0158
stratified,8,10,10,monte-carlo,-0.4545,0.18959,-0.4424,0.20194,-0.8734,0.3595,False,0.7064,-0.0557
stratified,8,50,10,monte-carlo,0.5515,0.10769,0.4667,0.17989,-0.2877,0.7881,False,0.7001,-0.0128
stratified,8,100,10,monte-carlo,0.7818,0.0105,0.7697,0.01225,0.2839,0.987,False,0.7127,-0.0102
stratified,8,200,10,monte-carlo,-0.0182,0.9732,0.4303,0.21649,-0.283,0.9,False,0.7005,0.0006
stratified,17,10,10,monte-carlo,-0.4667,0.17809,-0.4303,0.21784,-0.9623,0.3416,False,0.6151,-0.0092
stratified,17,50,10,monte-carlo,0.103,0.78566,-0.0061,1.0,-0.7219,0.7654,False,0.6025,0.0333
stratified,17,100,10,monte-carlo,-0.2364,0.51407,-0.1152,0.76651,-0.775,0.7962,False,0.6239,0.0623
stratified,17,200,10,monte-carlo,-0.4424,0.20409,-0.1879,0.61407,-0.8642,0.633,False,0.5925,0.1325
