paradigm,subject,fold,permute_k,split,calib_size,seed,n_val,baseline_auc,status,accepted,adapted_auc,deployed_auc,delta_auc,internal_val_auc,best_epoch
p300,1,version_39,0,stratified,24,42,6,0.6680693314818489,ungateable,,,0.6680693314818489,0.0,,
p300,1,version_39,0,stratified,24,43,6,0.6699836341995635,ungateable,,,0.6699836341995635,0.0,,
p300,1,version_39,0,stratified,24,44,6,0.6689421741717914,ungateable,,,0.6689421741717914,0.0,,
p300,1,version_39,0,stratified,24,45,6,0.6691455068438802,ungateable,,,0.6691455068438802,0.0,,
p300,1,version_39,0,stratified,24,46,6,0.6684859154929578,ungateable,,,0.6684859154929578,0.0,,
p300,1,version_39,0,stratified,48,42,12,0.6677908163265306,ok,0,0.6671224489795918,0.6677908163265306,0.0,0.7999999999999999,0
p300,1,version_39,0,stratified,48,43,12,0.6727780612244898,ok,0,0.6728558673469387,0.6727780612244898,0.0,0.55,0
p300,1,version_39,0,stratified,48,44,12,0.6724183673469388,ok,0,0.6715816326530613,0.6724183673469388,0.0,0.6,0
p300,1,version_39,0,stratified,48,45,12,0.672905612244898,ok,1,0.6694056122448979,0.6694056122448979,-0.0035000000000000586,0.5,9
p300,1,version_39,0,stratified,48,46,12,0.669359693877551,ok,1,0.6644770408163265,0.6644770408163265,-0.0048826530612244845,0.6,7
p300,1,version_39,0,stratified,96,42,24,0.6718858131487889,ok,0,0.6710261678200692,0.6718858131487889,0.0,0.6,0
p300,1,version_39,0,stratified,96,43,24,0.6738348832179931,ok,0,0.6716992863321799,0.6738348832179931,0.0,0.5,2
p300,1,version_39,0,stratified,96,44,24,0.6750054065743945,ok,1,0.668190419550173,0.668190419550173,-0.006814987024221453,0.6125,6
p300,1,version_39,0,stratified,96,45,24,0.669939446366782,ok,1,0.6664035467128028,0.6664035467128028,-0.0035358996539792686,0.9,4
p300,1,version_39,0,stratified,96,46,24,0.6713532655709342,ok,1,0.6549145761245675,0.6549145761245675,-0.016438689446366728,0.7625,17
p300,1,version_39,0,stratified,240,42,60,0.6674037460978147,ok,0,0.6658233610822061,0.6674037460978147,0.0,0.6080000000000001,0
p300,1,version_39,0,stratified,240,43,60,0.6724830905306971,ok,0,0.6706913371488032,0.6724830905306971,0.0,0.57,0
p300,1,version_39,0,stratified,240,44,60,0.6866155046826222,ok,1,0.6267007023933402,0.6267007023933402,-0.05991480228928203,0.744,70
p300,1,version_39,0,stratified,240,45,60,0.665852627471384,ok,0,0.664317767950052,0.665852627471384,0.0,0.558,0
p300,1,version_39,0,stratified,240,46,60,0.6825604838709677,ok,0,0.6812825182101978,0.6825604838709677,0.0,0.76,0
p300,1,version_39,0,stratified,480,42,120,0.6915033284023668,ok,1,0.6795441937869823,0.6795441937869823,-0.011959134615384559,0.6079999999999999,4
