paradigm,split,ea_ref,calib_size,purge_k,n_subjects,n_seeds,n_folds,mean_delta_auc,median_delta_auc,ci95_lo,ci95_hi,n_improved,wilcoxon_W,p_two_sided,p_one_sided_greater,cohens_dz,n_degenerate
als,purged_stratified,session,24,5,8,5,10,-0.033447,-0.031194,-0.046349,-0.020319,0,0.0,0.007812,1.0,-1.6585,0
als,purged_stratified,session,48,5,8,5,10,-0.033636,-0.034009,-0.04521,-0.022342,0,0.0,0.007812,1.0,-1.9105,0
als,purged_stratified,session,96,5,8,5,10,-0.023055,-0.026258,-0.037858,-0.006282,1,3.0,0.039062,0.988281,-0.9404,0
als,purged_stratified,session,240,5,8,5,10,-0.0111,-0.021557,-0.025974,0.006883,2,10.0,0.3125,0.875,-0.4336,0
als,purged_stratified,session,480,5,8,5,10,-0.002541,-0.012402,-0.018016,0.014933,3,15.0,0.742188,0.679688,-0.0991,0
als,stratified,session,24,0,8,5,10,-0.033312,-0.030841,-0.045605,-0.020798,0,0.0,0.007812,1.0,-1.7298,0
als,stratified,session,48,0,8,5,10,-0.034222,-0.035529,-0.044203,-0.024497,0,0.0,0.007812,1.0,-2.2544,0
als,stratified,session,96,0,8,5,10,-0.023841,-0.026666,-0.037081,-0.008549,1,3.0,0.039062,0.988281,-1.0736,0
als,stratified,session,240,0,8,5,10,-0.012777,-0.020865,-0.02581,0.00305,2,9.0,0.25,0.902344,-0.5655,0
als,stratified,session,480,0,8,5,10,-0.003859,-0.007788,-0.019445,0.014483,2,12.0,0.460938,0.808594,-0.1454,0
als,stratified_task_only,session,24,0,8,5,10,-0.033312,-0.030841,-0.045605,-0.020798,0,0.0,0.007812,1.0,-1.7298,0
als,stratified_task_only,session,48,0,8,5,10,-0.034222,-0.035529,-0.044203,-0.024497,0,0.0,0.007812,1.0,-2.2544,0
als,stratified_task_only,session,96,0,8,5,10,-0.023841,-0.026666,-0.037081,-0.008549,1,3.0,0.039062,0.988281,-1.0736,0
als,stratified_task_only,session,240,0,8,5,10,-0.012777,-0.020865,-0.02581,0.00305,2,9.0,0.25,0.902344,-0.5655,0
als,stratified_task_only,session,480,0,8,5,10,-0.003859,-0.007788,-0.019445,0.014483,2,12.0,0.460938,0.808594,-0.1454,0
als,temporal_array,session,24,0,8,5,10,-0.022693,-0.029008,-0.035334,-0.00358,1,6.0,0.109375,0.960938,-0.8717,0
als,temporal_array,session,48,0,8,5,10,-0.030147,-0.030926,-0.056821,-0.003958,1,6.0,0.109375,0.960938,-0.7632,0
als,temporal_array,session,96,0,8,5,10,-0.053058,-0.057961,-0.079245,-0.02052,1,2.0,0.023438,0.992188,-1.1463,0
als,temporal_array,session,240,0,8,5,10,-0.03945,-0.040265,-0.072236,-0.005992,1,6.0,0.109375,0.960938,-0.7739,0
als,temporal_array,session,480,0,8,5,10,-0.023146,-0.018107,-0.059834,0.01004,2,9.0,0.25,0.902344,-0.4338,0
als,temporal_chrono,session,24,0,8,5,10,-0.022693,-0.029008,-0.035334,-0.00358,1,6.0,0.109375,0.960938,-0.8717,0
als,temporal_chrono,session,48,0,8,5,10,-0.030147,-0.030926,-0.056821,-0.003958,1,6.0,0.109375,0.960938,-0.7632,0
als,temporal_chrono,session,96,0,8,5,10,-0.053058,-0.057961,-0.079245,-0.02052,1,2.0,0.023438,0.992188,-1.1463,0
als,temporal_chrono,session,240,0,8,5,10,-0.03945,-0.040265,-0.072236,-0.005992,1,6.0,0.109375,0.960938,-0.7739,0
als,temporal_chrono,session,480,0,8,5,10,-0.023146,-0.018107,-0.059834,0.01004,2,9.0,0.25,0.902344,-0.4338,0
