paradigm,subject,calib_size,baseline_auc,adapted_auc,delta_auc,seed
p300,1,24,0.7188876215036698,0.7123636183296964,-0.006524003173973392,42
p300,1,48,0.720265306122449,0.7030535714285714,-0.0172117346938776,42
p300,1,96,0.7232185337370243,0.7005785034602076,-0.022640030276816714,42
p300,1,240,0.7209254682622268,0.7059410770031218,-0.014984391259105001,42
p300,1,480,0.7352394600591716,0.7202940088757397,-0.014945451183431935,42
p300,2,24,0.7934735171592937,0.7755876810156714,-0.01788583614362227,42
p300,2,48,0.7927857142857142,0.7836479591836734,-0.009137755102040845,42
p300,2,96,0.7926497621107266,0.7719885380622837,-0.02066122404844284,42
p300,2,240,0.7883162070759626,0.7785542403746097,-0.009761966701352875,42
p300,2,480,0.7915218195266274,0.7885817307692308,-0.0029400887573965973,42
p300,3,24,0.7726046419361239,0.7400218210672487,-0.032582820868875206,42
p300,3,48,0.7712551020408164,0.7688010204081633,-0.002454081632653038,42
p300,3,96,0.7678308823529412,0.7617133434256055,-0.006117538927335686,42
p300,3,240,0.7705807752341312,0.7652055150884496,-0.005375260145681571,42
p300,3,480,0.7700027736686391,0.7622596153846154,-0.007743158284023721,42
p300,4,24,0.821059809561595,0.7809313628248362,-0.04012844673675875,42
p300,4,48,0.8197602040816327,0.8012704081632652,-0.018489795918367524,42
p300,4,96,0.8187878460207613,0.8097858996539792,-0.009001946366782088,42
p300,4,240,0.8180671175858482,0.8134885535900103,-0.004578563995837892,42
p300,4,480,0.8184541420118342,0.8218680658284024,0.003413923816568243,42
p300,5,24,0.7484266514580441,0.68106774449514,-0.06735890696290414,42
p300,5,48,0.7483048469387755,0.666326530612245,-0.08197831632653052,42
p300,5,96,0.7491362997404843,0.6856887975778547,-0.06344750216262962,42
p300,5,240,0.754999674817898,0.7460766779396462,-0.008922996878251821,42
p300,5,480,0.7558431952662722,0.7523206360946745,-0.0035225591715977167,42
p300,6,24,0.6374578456655425,0.5880356080142829,-0.04942223765125964,42
p300,6,48,0.6372755102040817,0.6014591836734694,-0.035816326530612286,42
p300,6,96,0.6408845155709343,0.5962316176470588,-0.0446528979238755,42
p300,6,240,0.6344367845993757,0.6283461238293444,-0.0060906607700312865,42
p300,6,480,0.6297244822485207,0.6330297707100592,0.003305288461538436,42
p300,7,24,0.828548403094624,0.7638365403689744,-0.06471186272564955,42
p300,7,48,0.8291913265306122,0.767841836734694,-0.061349489795918255,42
p300,7,96,0.8269869160899653,0.8016625216262976,-0.025324394463667743,42
p300,7,240,0.8267007023933401,0.8174135015608742,-0.009287200832465925,42
p300,7,480,0.8106000369822487,0.7998705621301775,-0.010729474852071208,42
p300,8,24,0.7678796369767904,0.6991767506447133,-0.0687028863320771,42
p300,8,48,0.7684017857142857,0.7329285714285715,-0.03547321428571426,42
p300,8,96,0.7635907763840831,0.7543387759515572,-0.009252000432525942,42
p300,8,240,0.767997203433923,0.7657566987513008,-0.0022405046826221575,42
p300,8,480,0.7709550665680474,0.762606323964497,-0.008348742603550341,42
p300,9,24,0.8153218607419164,0.7735952687958738,-0.04172659194604256,42
p300,9,48,0.8140229591836734,0.7878418367346939,-0.02618112244897952,42
p300,9,96,0.8173794333910035,0.7831314878892733,-0.03424794550173016,42
p300,9,240,0.8154624089490112,0.8008844953173777,-0.014577913631633521,42
p300,9,480,0.8184448964497041,0.8112749630177515,-0.007169933431952602,42
p300,10,24,0.8499553659988098,0.7501735766712953,-0.09978178932751458,42
p300,10,48,0.8487066326530612,0.8105714285714286,-0.03813520408163262,42
p300,10,96,0.8478022275086505,0.8186067257785468,-0.029195501730103768,42
p300,10,240,0.8484976586888658,0.8335587929240375,-0.01493886576482839,42
p300,10,480,0.838489275147929,0.8355122041420119,-0.0029770710059171535,42
