paradigm,subject,calib_size,baseline_auc,adapted_auc,delta_auc,seed
p300,9,24,0.8004810553461614,0.7416707994445546,-0.05881025590160682,42
p300,9,48,0.7975816326530611,0.7719821428571428,-0.025599489795918307,42
p300,9,96,0.7949097102076126,0.7832828719723182,-0.011626838235294423,42
p300,9,240,0.7886186264308013,0.7824336628511966,-0.00618496357960463,42
p300,9,480,0.7811390532544379,0.7802792159763313,-0.0008598372781065677,42
p300,10,24,0.8485741916286451,0.8156466970839119,-0.032927494544733205,42
p300,10,48,0.8469336734693877,0.8257295918367347,-0.021204081632653082,42
p300,10,96,0.8482239403114187,0.8336586288927336,-0.014565311418685112,42
p300,10,240,0.844530437044745,0.8341116024973985,-0.01041883454734649,42
p300,10,480,0.8446283284023668,0.8347910502958581,-0.009837278106508696,42
