condition,n,corr_bf_pr,vif_baseline_frac,vif_pos_rate,r2,separable,beta_baseline_frac,se_baseline_frac,p_baseline_frac,beta_pos_rate,se_pos_rate,p_pos_rate
purged_stratified N=10,10,nan,1.0,nan,0.0025,False,-0.424136,3.186324,0.894105,0.007225,2342396.564987,1.0
purged_stratified N=20,10,nan,1.0,nan,0.0134,False,-1.198531,3.884529,0.757672,0.093287,1427837.861801,1.0
purged_stratified N=50,10,0.9487,1.0,0.012,0.0631,True,-1.859702,2.709472,0.492479,0.148357,2805424.39288,1.0
stratified N=10,10,nan,1.0,nan,0.0,False,0.0522,2.889148,0.985585,-0.032342,2123930.743535,1.0
stratified N=20,10,nan,1.0,nan,0.0128,False,-1.045973,3.467973,0.76295,0.079231,1274724.014112,1.0
stratified N=50,10,0.0,1.0,0.769,0.042,True,1.535849,2.772019,0.579542,-0.139932,1222694.432469,1.0
stratified N=100,10,0.0,1.0,inf,0.0654,False,4.491495,6.418364,0.48406,-0.360124,943680.163746,1.0
stratified N=150,10,-1.0,inf,inf,0.0504,False,0.734616,0.0,0.0,-0.515629,0.0,0.0
stratified N=200,10,-0.0,1.0,1.111,0.1726,True,2.955745,2.445772,0.22685,-0.244571,990933.901204,1.0
ALL ARMS pooled N=10,40,-0.9995,1851.0,1850.0,0.4647,False,-0.207861,2.742823,0.939591,-0.671834,7.078396,0.924384
ALL ARMS pooled N=20,40,-0.9999,7455.444,7454.444,0.3878,False,1.160226,5.418755,0.830459,2.594134,14.035517,0.853365
ALL ARMS pooled N=50,40,-0.9991,777.194,776.858,0.422,False,-2.588678,1.800508,0.150505,-4.86913,3.24622,0.13363
ALL ARMS pooled N=100,40,-0.9984,307.438,307.437,0.4496,False,-1.027334,0.543931,0.058929,-2.061046,1.046988,0.049005
ALL ARMS pooled N=150,40,-0.9991,584.35,584.358,0.5821,False,-1.009074,1.043109,0.333358,-2.251357,1.993077,0.25865
ALL ARMS pooled N=200,20,-0.9974,388.778,387.778,0.658,False,4.040401,4.994423,0.418525,9.402113,10.621859,0.376067
clustered N=10,1000,-0.8806,,,,True,0.208627,0.121999,0.087252,0.402706,0.37971,0.288889
clustered N=20,1000,-0.9099,,,,True,-0.04559,0.050497,0.366621,-0.528928,0.234072,0.023841
clustered N=50,955,-0.9817,,,,False,-0.163546,0.280491,0.559847,-0.49079,0.475442,0.301941
clustered N=100,1000,-0.9975,,,,False,-0.607629,0.108715,0.0,-1.25449,0.26055,1e-06
clustered N=150,1000,-0.9987,,,,False,-0.558714,0.176394,0.001538,-1.391588,0.382106,0.000271
clustered N=200,500,-0.9784,,,,False,0.240517,0.857991,0.779228,1.33116,1.737299,0.443543
