paradigm,subject,split,calib_size,seed,ea_ref,baseline_auc,adapted_auc,delta_auc,n_calib,n_eval,calib_pos_rate,eval_pos_rate,calib_baseline_frac,eval_baseline_frac,purge_k,n_purged,status,fold,fold_mode,checkpoint,checkpoint_val_auc,montage_source,n_channels,n_epochs_total,channels
mi,99,temporal_array,10,42,session,0.7366906474820144,0.7465933135844265,0.009902666102412083,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,10,43,session,0.7366906474820144,0.7465933135844265,0.009902666102412083,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,10,44,session,0.7366906474820144,0.7465933135844265,0.009902666102412083,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,10,45,session,0.7366906474820144,0.7465933135844265,0.009902666102412083,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,10,46,session,0.7366906474820144,0.7465933135844265,0.009902666102412083,10,224,0.5,0.3794642857142857,0.0,0.26785714285714285,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,20,42,session,0.7298507462686568,0.6653917910447761,-0.06445895522388068,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,20,43,session,0.7298507462686568,0.6653917910447761,-0.06445895522388068,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,20,44,session,0.7298507462686568,0.6653917910447761,-0.06445895522388068,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,20,45,session,0.7298507462686568,0.6653917910447761,-0.06445895522388068,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,20,46,session,0.7298507462686568,0.6653917910447761,-0.06445895522388068,20,214,0.5,0.37383177570093457,0.0,0.2803738317757009,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,50,42,session,0.714453125,0.7364583333333333,0.022005208333333304,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,50,43,session,0.714453125,0.7356770833333334,0.021223958333333348,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,50,44,session,0.714453125,0.7377604166666667,0.023307291666666674,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,50,45,session,0.714453125,0.7364583333333333,0.022005208333333304,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,50,46,session,0.714453125,0.7356770833333334,0.021223958333333348,50,184,0.52,0.34782608695652173,0.0,0.32608695652173914,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,100,42,session,0.7686403508771931,0.6548793859649122,-0.11376096491228083,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,100,43,session,0.7686403508771931,0.6735197368421052,-0.09512061403508787,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,100,44,session,0.7686403508771931,0.6600877192982456,-0.10855263157894746,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,100,45,session,0.7686403508771931,0.6480263157894736,-0.1206140350877195,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,100,46,session,0.7686403508771931,0.6439144736842105,-0.12472587719298256,100,134,0.52,0.2835820895522388,0.0,0.44776119402985076,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,150,42,session,0.6828703703703703,0.5740740740740741,-0.10879629629629628,150,84,0.52,0.14285714285714285,0.0,0.7142857142857143,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,150,43,session,0.6828703703703703,0.5740740740740741,-0.10879629629629628,150,84,0.52,0.14285714285714285,0.0,0.7142857142857143,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,150,44,session,0.6828703703703703,0.5648148148148149,-0.11805555555555547,150,84,0.52,0.14285714285714285,0.0,0.7142857142857143,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,150,45,session,0.6828703703703703,0.5775462962962963,-0.10532407407407407,150,84,0.52,0.14285714285714285,0.0,0.7142857142857143,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,150,46,session,0.6828703703703703,0.576388888888889,-0.1064814814814814,150,84,0.52,0.14285714285714285,0.0,0.7142857142857143,0,0,ok,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,200,42,session,nan,nan,nan,200,34,0.45,0.0,0.13,1.0,0,0,degenerate_eval_single_class,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,200,43,session,nan,nan,nan,200,34,0.45,0.0,0.13,1.0,0,0,degenerate_eval_single_class,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,temporal_array,200,44,session,nan,nan,nan,200,34,0.45,0.0,0.13,1.0,0,0,degenerate_eval_single_class,version_27,average,lightning_logs/version_27/checkpoints/best-epoch=073-val/roc_auc=0.7783.ckpt,0.7783,inferred_from_config,17,234,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
