paradigm,subject,calib_size,baseline_auc,adapted_auc,delta_auc,seed
mi,99,10,0.6091409225560729,0.581125687685146,-0.02801523487092683,42
mi,99,20,0.6207089552238806,0.6484141791044776,0.02770522388059704,42
mi,99,50,0.6154947916666667,0.5858072916666666,-0.02968750000000009,42
mi,99,100,0.628015350877193,0.5786732456140351,-0.049342105263157854,42
mi,101,10,0.6968260685569191,0.5604739737621667,-0.1363520947947524,42
mi,101,20,0.6960820895522387,0.508955223880597,-0.18712686567164172,42
mi,101,50,0.690234375,0.7190104166666667,0.028776041666666696,42
mi,101,100,0.7033991228070176,0.709703947368421,0.006304824561403466,42
mi,102,10,0.7576809140922557,0.6681337283114684,-0.08954718578078724,42
mi,102,20,0.7635261194029851,0.7225746268656716,-0.04095149253731345,42
mi,102,50,0.7524739583333333,0.7152343749999999,-0.03723958333333344,42
mi,102,100,0.7702850877192983,0.787828947368421,0.01754385964912275,42
mi,103,10,0.7433770630554379,0.7143461701227254,-0.02903089293271255,42
mi,103,20,0.7287313432835821,0.7208022388059702,-0.00792910447761197,42
mi,103,50,0.7109375000000001,0.6837239583333334,-0.027213541666666674,42
mi,103,100,0.7593201754385964,0.7025767543859649,-0.056743421052631526,42
mi,104,10,0.8273678656230762,0.734148271919796,-0.09321959370328015,42
mi,104,20,0.8362470862470862,0.8025446775446776,-0.03370240870240859,42
mi,104,50,0.8496446145434664,0.8894204483324221,0.03977583378895566,42
mi,104,100,0.8664302600472813,0.9208037825059102,0.05437352245862892,42
mi,105,10,0.7946677951756241,0.8231908590774439,0.0285230639018198,42
mi,105,20,0.7993470149253731,0.8208955223880596,0.02154850746268655,42
mi,105,50,0.8069010416666667,0.8610677083333333,0.054166666666666696,42
mi,105,100,0.856359649122807,0.856359649122807,0.0,42
mi,106,10,0.7557342361404994,0.7072365636902243,-0.04849767245027514,42
mi,106,20,0.7597947761194029,0.7640858208955225,0.004291044776119524,42
mi,106,50,0.7506510416666667,0.7696614583333334,0.019010416666666696,42
mi,106,100,0.7595942982456141,0.7711074561403508,0.011513157894736725,42
mi,107,10,0.5607278882776132,0.554126110876005,-0.0066017774016081665,42
mi,107,20,0.5632462686567165,0.4403917910447761,-0.12285447761194035,42
mi,107,50,0.5595052083333334,0.5891927083333334,0.029687499999999978,42
mi,107,100,0.5666118421052632,0.5578399122807017,-0.00877192982456143,42
mi,108,10,0.6939483707151926,0.674989420228523,-0.018958950486669512,42
mi,108,20,0.6942164179104477,0.6208022388059701,-0.07341417910447767,42
mi,108,50,0.6778645833333333,0.5322916666666666,-0.14557291666666672,42
mi,108,100,0.7212171052631579,0.5630482456140351,-0.15816885964912275,42
mi,109,10,0.6159966144731275,0.5024121878967414,-0.11358442657638612,42
mi,109,20,0.6169776119402985,0.4862873134328359,-0.13069029850746267,42
mi,109,50,0.633203125,0.425390625,-0.20781249999999996,42
mi,109,100,0.6244517543859649,0.4279057017543859,-0.19654605263157898,42
