paradigm,split,ea_ref,calib_size,purge_k,n_subjects,n_seeds,n_folds,mean_delta_auc,median_delta_auc,ci95_lo,ci95_hi,n_improved,wilcoxon_W,p_two_sided,p_one_sided_greater,cohens_dz,n_degenerate
mi,purged_stratified,calibration,100,5,0,0,0,,,,,0,,,,,250
mi,purged_stratified,calibration,150,5,0,0,0,,,,,0,,,,,250
mi,purged_stratified,calibration,200,5,0,0,0,,,,,0,,,,,250
mi,purged_stratified,session,10,1,10,5,5,-0.081538,-0.077992,-0.111839,-0.053131,0,0.0,0.001953,1.0,-1.6391,0
mi,purged_stratified,session,10,2,10,5,5,-0.083677,-0.081353,-0.114472,-0.054716,0,0.0,0.001953,1.0,-1.6519,0
mi,purged_stratified,session,10,5,10,5,5,-0.088474,-0.082805,-0.12051,-0.05719,0,0.0,0.001953,1.0,-1.6573,0
mi,purged_stratified,session,20,1,10,5,5,-0.038912,-0.03607,-0.054928,-0.022642,1,1.0,0.003906,0.999023,-1.4018,0
mi,purged_stratified,session,20,2,10,5,5,-0.037777,-0.037764,-0.053298,-0.02226,1,1.0,0.003906,0.999023,-1.4205,0
mi,purged_stratified,session,20,5,10,5,5,-0.039887,-0.043904,-0.057824,-0.019937,1,3.0,0.009766,0.99707,-1.219,0
mi,purged_stratified,session,50,1,10,5,5,-0.023076,-0.00828,-0.041256,-0.006264,3,10.0,0.083984,0.967773,-0.7728,0
mi,purged_stratified,session,50,2,10,5,5,-0.025909,-0.011584,-0.045027,-0.009575,1,2.0,0.005859,0.998047,-0.8613,0
mi,purged_stratified,session,50,5,10,5,5,-0.013115,-0.015512,-0.042584,0.021821,2,12.0,0.130859,0.947266,-0.2435,45
mi,purged_stratified,session,100,1,10,5,5,-0.011291,-0.004815,-0.029637,0.004707,3,14.0,0.193359,0.919922,-0.392,0
mi,purged_stratified,session,100,2,10,5,5,-0.010979,0.000672,-0.04363,0.022015,5,24.0,0.769531,0.652344,-0.196,0
mi,purged_stratified,session,100,5,0,0,0,,,,,0,,,,,250
mi,purged_stratified,session,150,1,10,5,5,0.029173,0.027129,-0.01022,0.071297,7,16.0,0.275391,0.137695,0.4214,0
mi,purged_stratified,session,150,2,10,1,5,0.02,0.0,-0.16,0.21,4,17.5,0.992188,0.496094,0.0634,200
mi,purged_stratified,session,150,5,0,0,0,,,,,0,,,,,250
mi,purged_stratified,session,200,1,0,0,0,,,,,0,,,,,250
mi,purged_stratified,session,200,2,0,0,0,,,,,0,,,,,250
mi,purged_stratified,session,200,5,0,0,0,,,,,0,,,,,250
mi,stratified,calibration,100,0,10,5,5,-0.01259,-0.007045,-0.026011,-0.000109,3,14.0,0.193359,0.919922,-0.5754,0
mi,stratified,calibration,150,0,10,5,5,-0.004223,0.000781,-0.013502,0.003467,5,24.0,0.769531,0.652344,-0.2879,0
mi,stratified,calibration,200,0,10,5,5,0.001273,0.0063,-0.010931,0.012321,6,24.0,0.769531,0.384766,0.0648,0
mi,stratified,session,10,0,10,5,5,-0.080324,-0.077855,-0.109346,-0.052406,0,0.0,0.001953,1.0,-1.6615,0
mi,stratified,session,20,0,10,5,5,-0.041137,-0.037951,-0.057538,-0.023681,1,2.0,0.005859,0.998047,-1.4086,0
mi,stratified,session,50,0,10,5,5,-0.026395,-0.014978,-0.043602,-0.010275,2,5.0,0.019531,0.993164,-0.9283,0
mi,stratified,session,100,0,10,5,5,-0.013769,-0.00712,-0.02752,-0.001151,3,12.0,0.130859,0.947266,-0.6197,0
mi,stratified,session,150,0,10,5,5,-0.004788,0.00012,-0.013934,0.002758,5,21.0,0.556641,0.753906,-0.3301,0
mi,stratified,session,200,0,10,5,5,0.000365,0.004029,-0.012088,0.011732,6,26.0,0.921875,0.460938,0.018,0
mi,stratified_task_only,calibration,100,0,10,5,5,-0.047935,-0.028394,-0.092982,-0.008038,3,10.0,0.083984,0.967773,-0.6606,0
mi,stratified_task_only,calibration,150,0,10,5,5,-0.047749,-0.022963,-0.090603,-0.007758,3,12.0,0.130859,0.947266,-0.6779,0
mi,stratified_task_only,session,10,0,10,5,5,-0.087213,-0.08698,-0.119391,-0.061093,0,0.0,0.001953,1.0,-1.7637,0
mi,stratified_task_only,session,20,0,10,5,5,-0.065993,-0.056431,-0.100055,-0.034576,0,0.0,0.001953,1.0,-1.1718,0
mi,stratified_task_only,session,50,0,10,5,5,-0.051006,-0.046284,-0.083426,-0.020023,3,6.0,0.027344,0.990234,-0.9378,0
mi,stratified_task_only,session,100,0,10,5,5,-0.049065,-0.03281,-0.092448,-0.010344,3,9.0,0.064453,0.975586,-0.6997,0
mi,stratified_task_only,session,150,0,10,5,5,-0.049245,-0.023958,-0.091834,-0.010289,3,11.0,0.105469,0.958008,-0.711,0
mi,temporal_array,calibration,100,0,10,5,5,-0.066348,-0.025214,-0.114662,-0.022824,2,4.0,0.013672,0.995117,-0.8433,0
mi,temporal_array,calibration,150,0,10,5,5,-0.076167,-0.058287,-0.126273,-0.029491,2,5.0,0.019531,0.993164,-0.9162,0
mi,temporal_array,calibration,200,0,0,0,0,,,,,0,,,,,250
mi,temporal_array,session,10,0,10,5,5,-0.108696,-0.106671,-0.162479,-0.061379,1,1.0,0.003906,0.999023,-1.246,0
mi,temporal_array,session,20,0,10,5,5,-0.097201,-0.069776,-0.146384,-0.056542,0,0.0,0.001953,1.0,-1.2637,0
mi,temporal_array,session,50,0,10,5,5,-0.045873,-0.016195,-0.099474,-0.006401,2,8.0,0.048828,0.981445,-0.564,0
mi,temporal_array,session,100,0,10,5,5,-0.065431,-0.027336,-0.10867,-0.025678,1,2.0,0.005859,0.998047,-0.9176,0
mi,temporal_array,session,150,0,10,5,5,-0.076706,-0.069097,-0.123797,-0.032728,2,5.0,0.019531,0.993164,-0.9777,0
mi,temporal_array,session,200,0,0,0,0,,,,,0,,,,,250
mi,temporal_chrono,calibration,100,0,10,5,5,-0.034361,-0.029115,-0.052391,-0.017649,1,1.0,0.003906,0.999023,-1.1613,0
mi,temporal_chrono,calibration,150,0,10,5,5,0.000796,0.000204,-0.011576,0.013799,5,27.0,1.0,0.5,0.0365,0
mi,temporal_chrono,calibration,200,0,10,5,5,-0.018123,-0.005625,-0.04279,0.004681,5,18.0,0.375,0.838867,-0.441,0
mi,temporal_chrono,session,10,0,0,0,0,,,,,0,,,,,250
mi,temporal_chrono,session,20,0,0,0,0,,,,,0,,,,,250
mi,temporal_chrono,session,50,0,0,0,0,,,,,0,,,,,250
mi,temporal_chrono,session,100,0,10,5,5,-0.034703,-0.026243,-0.05447,-0.017233,1,1.0,0.003906,0.999023,-1.0885,0
mi,temporal_chrono,session,150,0,10,5,5,-0.001511,-0.007238,-0.013468,0.011562,4,23.0,0.695312,0.6875,-0.0708,0
mi,temporal_chrono,session,200,0,10,5,5,-0.020143,-0.004167,-0.044907,0.002903,5,17.0,0.322266,0.862305,-0.4858,0
