paradigm,subject,fold,checkpoint_val_auc,heldout_auc,n_epochs,n_pos,montage_source,n_channels,channels
mi,99,version_28,0.8016,0.7154320987654321,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,101,version_28,0.8016,0.7171296296296297,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,102,version_28,0.8016,0.9189043209876543,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,103,version_28,0.8016,0.8714506172839507,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,104,version_28,0.8016,0.8758802816901409,230,88,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,105,version_28,0.8016,0.8005401234567902,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,106,version_28,0.8016,0.8111111111111111,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,107,version_28,0.8016,0.6604938271604939,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,108,version_28,0.8016,0.6857253086419753,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,109,version_28,0.8016,0.5679783950617284,234,90,inferred_from_config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
