paradigm,subject,fold,checkpoint_val_auc,heldout_auc,n_epochs,n_pos,montage_source,montage_label,n_channels,channels
mi,99,version_27,0.7783,0.74320987654321,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,version_28,0.8016,0.7154320987654321,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,version_29,0.7951,0.7439043209876544,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,99,version_30,0.7632,0.7530864197530863,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,101,version_27,0.7783,0.7287037037037036,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,101,version_28,0.8016,0.7171296296296297,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,101,version_29,0.7951,0.700462962962963,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,101,version_30,0.7632,0.7165123456790123,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,102,version_27,0.7783,0.9186728395061727,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,102,version_28,0.8016,0.9189043209876543,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,102,version_29,0.7951,0.9359567901234567,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,102,version_30,0.7632,0.9152777777777777,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,103,version_27,0.7783,0.8362654320987655,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,103,version_28,0.8016,0.8714506172839507,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
mi,103,version_29,0.7951,0.8463734567901234,234,90,inferred_from_config,config,17,FC3|FC1|FCz|FC2|FC4|C5|C3|C1|Cz|C2|C4|C6|CP3|CP1|CPz|CP2|CP4
