paradigm,split,ea_ref,calib_size,purge_k,n_subjects,n_seeds,n_folds,mean_delta_auc,median_delta_auc,ci95_lo,ci95_hi,n_improved,wilcoxon_W,p_two_sided,p_one_sided_greater,cohens_dz,n_degenerate
p300,purged_stratified,calibration,240,5,10,5,1,-0.03125,-0.037938,-0.041541,-0.020184,1,1.0,0.003906,0.999023,-1.7104,0
p300,purged_stratified,calibration,480,5,10,5,1,-0.020711,-0.01443,-0.033325,-0.00978,1,1.0,0.003906,0.999023,-1.0206,0
p300,purged_stratified,session,24,5,10,5,1,-0.075347,-0.063609,-0.097861,-0.053986,0,0.0,0.001953,1.0,-1.963,0
p300,purged_stratified,session,48,5,10,5,1,-0.065101,-0.079927,-0.080882,-0.047908,0,0.0,0.001953,1.0,-2.3132,0
p300,purged_stratified,session,96,5,10,5,1,-0.048569,-0.055639,-0.062979,-0.033825,0,0.0,0.001953,1.0,-1.9289,0
p300,purged_stratified,session,240,5,10,5,1,-0.031199,-0.037951,-0.041268,-0.020319,0,0.0,0.001953,1.0,-1.7388,0
p300,purged_stratified,session,480,5,10,5,1,-0.020586,-0.012857,-0.033403,-0.009502,1,1.0,0.003906,0.999023,-0.9972,0
p300,stratified,calibration,240,0,10,5,1,-0.026262,-0.02969,-0.035481,-0.016715,1,1.0,0.003906,0.999023,-1.6426,0
p300,stratified,calibration,480,0,10,5,1,-0.015662,-0.013039,-0.022521,-0.008662,1,1.0,0.003906,0.999023,-1.3278,0
p300,stratified,session,24,0,10,5,1,-0.074824,-0.064154,-0.096913,-0.053582,0,0.0,0.001953,1.0,-1.9965,0
p300,stratified,session,48,0,10,5,1,-0.063453,-0.077593,-0.078309,-0.047208,0,0.0,0.001953,1.0,-2.394,0
p300,stratified,session,96,0,10,5,1,-0.047097,-0.050471,-0.061273,-0.033417,0,0.0,0.001953,1.0,-1.9528,0
p300,stratified,session,240,0,10,5,1,-0.026157,-0.029555,-0.035298,-0.016703,1,1.0,0.003906,0.999023,-1.6509,0
p300,stratified,session,480,0,10,5,1,-0.015658,-0.013092,-0.022491,-0.008703,1,1.0,0.003906,0.999023,-1.3336,0
p300,stratified_task_only,calibration,240,0,10,5,1,-0.026262,-0.02969,-0.035481,-0.016715,1,1.0,0.003906,0.999023,-1.6426,0
p300,stratified_task_only,calibration,480,0,10,5,1,-0.015662,-0.013039,-0.022521,-0.008662,1,1.0,0.003906,0.999023,-1.3278,0
p300,stratified_task_only,session,24,0,10,5,1,-0.074824,-0.064154,-0.096913,-0.053582,0,0.0,0.001953,1.0,-1.9965,0
p300,stratified_task_only,session,48,0,10,5,1,-0.063453,-0.077593,-0.078309,-0.047208,0,0.0,0.001953,1.0,-2.394,0
p300,stratified_task_only,session,96,0,10,5,1,-0.047097,-0.050471,-0.061273,-0.033417,0,0.0,0.001953,1.0,-1.9528,0
p300,stratified_task_only,session,240,0,10,5,1,-0.026157,-0.029555,-0.035298,-0.016703,1,1.0,0.003906,0.999023,-1.6509,0
p300,stratified_task_only,session,480,0,10,5,1,-0.015658,-0.013092,-0.022491,-0.008703,1,1.0,0.003906,0.999023,-1.3336,0
p300,temporal_array,calibration,240,0,10,5,1,-0.024115,-0.028502,-0.03548,-0.012467,1,3.0,0.009766,0.99707,-1.2258,0
p300,temporal_array,calibration,480,0,10,5,1,-0.016184,-0.013001,-0.031592,-0.004313,1,5.0,0.019531,0.993164,-0.6793,0
p300,temporal_array,session,24,0,10,5,1,-0.054556,-0.043891,-0.085785,-0.028279,1,1.0,0.003906,0.999023,-1.1047,0
p300,temporal_array,session,48,0,10,5,1,-0.060086,-0.036308,-0.100564,-0.02725,1,1.0,0.003906,0.999023,-0.9535,0
p300,temporal_array,session,96,0,10,5,1,-0.033341,-0.022101,-0.054011,-0.016249,1,1.0,0.003906,0.999023,-1.026,0
p300,temporal_array,session,240,0,10,5,1,-0.02374,-0.028362,-0.035083,-0.012266,1,3.0,0.009766,0.99707,-1.2188,0
p300,temporal_array,session,480,0,10,5,1,-0.016002,-0.012966,-0.031071,-0.004285,1,5.0,0.019531,0.993164,-0.6846,0
p300,temporal_chrono,calibration,240,0,10,5,1,-0.024115,-0.028502,-0.03548,-0.012467,1,3.0,0.009766,0.99707,-1.2258,0
p300,temporal_chrono,calibration,480,0,10,5,1,-0.016184,-0.013001,-0.031592,-0.004313,1,5.0,0.019531,0.993164,-0.6793,0
p300,temporal_chrono,session,24,0,10,5,1,-0.054556,-0.043891,-0.085785,-0.028279,1,1.0,0.003906,0.999023,-1.1047,0
p300,temporal_chrono,session,48,0,10,5,1,-0.060086,-0.036308,-0.100564,-0.02725,1,1.0,0.003906,0.999023,-0.9535,0
p300,temporal_chrono,session,96,0,10,5,1,-0.033341,-0.022101,-0.054011,-0.016249,1,1.0,0.003906,0.999023,-1.026,0
p300,temporal_chrono,session,240,0,10,5,1,-0.02374,-0.028362,-0.035083,-0.012266,1,3.0,0.009766,0.99707,-1.2188,0
p300,temporal_chrono,session,480,0,10,5,1,-0.016002,-0.012966,-0.031071,-0.004285,1,5.0,0.019531,0.993164,-0.6846,0
