epoch,lr-AdamW,step,test/roc_auc,train/loss,train/roc_auc,val/loss,val/roc_auc
,0.0001,0,,,,,
0,,281,,,,0.8557837009429932,0.5846559405326843
0,,281,,0.8802118897438049,0.5245311856269836,,
,0.00019,282,,,,,
1,,563,,,,0.8500674366950989,0.6225939989089966
1,,563,,0.8566590547561646,0.5729917287826538,,
,0.00028000000000000003,564,,,,,
2,,845,,,,0.8388132452964783,0.6822627782821655
2,,845,,0.8409714102745056,0.6118963956832886,,
,0.00037000000000000005,846,,,,,
3,,1127,,,,0.8216775059700012,0.7011972665786743
3,,1127,,0.8245907425880432,0.6464955806732178,,
,0.00046000000000000007,1128,,,,,
4,,1409,,,,0.8085492849349976,0.7266421914100647
4,,1409,,0.8110952377319336,0.6649327278137207,,
,0.00055,1410,,,,,
5,,1691,,,,0.7980186343193054,0.7304978370666504
5,,1691,,0.8032899498939514,0.6762990951538086,,
,0.00064,1692,,,,,
6,,1973,,,,0.7792918086051941,0.7256883382797241
6,,1973,,0.7991989254951477,0.6842936277389526,,
,0.0007300000000000001,1974,,,,,
7,,2255,,,,0.7812554836273193,0.7331418395042419
7,,2255,,0.7958978414535522,0.6871157884597778,,
,0.0008200000000000001,2256,,,,,
8,,2537,,,,0.7767080664634705,0.7284450531005859
8,,2537,,0.7887206673622131,0.6958320140838623,,
,0.0009100000000000002,2538,,,,,
9,,2819,,,,0.7763049602508545,0.7410146594047546
9,,2819,,0.7779630422592163,0.7118204832077026,,
,0.001,2820,,,,,
10,,3101,,,,0.7389609813690186,0.7614450454711914
10,,3101,,0.7676160335540771,0.7196844220161438,,
,0.0009999317208437383,3102,,,,,
11,,3383,,,,0.7510338425636292,0.7626724243164062
11,,3383,,0.7687630653381348,0.7189580202102661,,
,0.0009997269020417926,3384,,,,,
12,,3665,,,,0.7581307291984558,0.7533261179924011
12,,3665,,0.7630729675292969,0.7233688831329346,,
,0.0009993855995895783,3666,,,,,
13,,3947,,,,0.7445532083511353,0.7685112953186035
13,,3947,,0.7580708265304565,0.7277517318725586,,
,0.0009989079067957778,3948,,,,,
14,,4229,,,,0.727666974067688,0.7716723680496216
14,,4229,,0.7609905004501343,0.7235133647918701,,
,0.0009982939542568315,4230,,,,,
15,,4511,,,,0.7310148477554321,0.7600106000900269
15,,4511,,0.7571802139282227,0.7264398336410522,,
,0.0009975439098212332,4512,,,,,
16,,4793,,,,0.7364309430122375,0.7699927687644958
16,,4793,,0.7499251365661621,0.7332042455673218,,
,0.0009966579785436421,4794,,,,,
17,,5075,,,,0.7614809274673462,0.7810348272323608
17,,5075,,0.7469141483306885,0.7375209331512451,,
,0.000995636402628824,5076,,,,,
18,,5357,,,,0.7361481189727783,0.7776205539703369
18,,5357,,0.7482032775878906,0.7345497608184814,,
,0.0009944794613654334,5358,,,,,
19,,5639,,,,0.7323684096336365,0.7645302414894104
19,,5639,,0.7419475317001343,0.7429987192153931,,
,0.0009931874710496598,5640,,,,,
20,,5921,,,,0.7086333632469177,0.7739591598510742
20,,5921,,0.7453694343566895,0.7389484643936157,,
,0.000991760784898755,5922,,,,,
21,,6203,,,,0.742152750492096,0.7816974520683289
21,,6203,,0.7378619909286499,0.7456884384155273,,
,0.0009901997929544675,6204,,,,,
22,,6485,,,,0.7197660207748413,0.7764989733695984
22,,6485,,0.7341628074645996,0.7501659393310547,,
,0.000988504921976408,6486,,,,,
23,,6767,,,,0.7656833529472351,0.7744192481040955
23,,6767,,0.7440961599349976,0.7393285036087036,,
,0.000986676635325379,6768,,,,,
24,,7049,,,,0.7779926061630249,0.7814007997512817
24,,7049,,0.730840802192688,0.7520158290863037,,
,0.0009847154328366957,7050,,,,,
25,,7331,,,,0.7105001211166382,0.7809199690818787
25,,7331,,0.7321159839630127,0.7494708299636841,,
,0.0009826218506835357,7332,,,,,
26,,7613,,,,0.7288769483566284,0.7726520299911499
26,,7613,,0.7347406148910522,0.747322678565979,,
,0.0009803964612303557,7614,,,,,
27,,7895,,,,0.7189562320709229,0.776240348815918
27,,7895,,0.7305856943130493,0.7530280351638794,,
,0.0009780398728764116,7896,,,,,
28,,8177,,,,0.7137547731399536,0.7782785892486572
28,,8177,,0.7347114682197571,0.7471845149993896,,
,0.0009755527298894293,8178,,,,,
29,,8459,,,,0.7255664467811584,0.7769343852996826
29,,8459,,0.729813277721405,0.7539688348770142,,
,0.0009729357122294669,8460,,,,,
30,,8741,,,,0.7034059762954712,0.7852243185043335
